idQuestionario;nomPais;faixaIdade;nomMotivoRed;numPernoiteTotal;codIBGECidadeVisitada;nomCidadeVisitada_UF;nomHospedagem;nomAgencia;nomAcompanhante;lng;lat;gpcd
20920;Argentina;41-50 years;Leisure;6;2303709;Caucaia - CE;Hotel or flat;Tourist package;Family group;-38,66401754;-3,736487;12,5
41083;United Kingdom;32-40 years;Leisure;15;2303709;Caucaia - CE;Posada;Tourist package;Alone;-38,66401754;-3,736487;20,9333333333333
17944;Argentina;25-31 years;Leisure;10;2304400;Fortaleza - CE;Hotel or flat;No;Couple without children;-38,58992756;-3,723805035;35,85
19428;Denmark;41-50 years;Business and events;8;2304400;Fortaleza - CE;Hotel or flat;No;Alone;-38,58992756;-3,723805035;183,375
19677;Mexico;25-31 years;Other reasons;14;2304400;Fortaleza - CE;Rented property;No;Friends;-38,58992756;-3,723805035;50
21279;Colombia;32-40 years;Other reasons;30;2304400;Fortaleza - CE;House of friends and relatives;No;Alone;-38,58992756;-3,723805035;29,2666666666667
21282;Italy;51-59 years;Leisure;26;2304400;Fortaleza - CE;Hotel or flat;No;Alone;-38,58992756;-3,723805035;64,7692307692308
21413;Chile;32-40 years;Leisure;7;2304400;Fortaleza - CE;Hotel or flat;No;Friends;-38,58992756;-3,723805035;142,714285714286
21466;Argentina;32-40 years;Leisure;13;2304400;Fortaleza - CE;Hotel or flat;No;Couple with children;-38,58992756;-3,723805035;41,4615384615385
23944;Argentina;32-40 years;Leisure;15;2304400;Fortaleza - CE;Posada;No;Family group;-38,58992756;-3,723805035;46,5111111111111
23945;Argentina;32-40 years;Leisure;8;2304400;Fortaleza - CE;Hotel or flat;No;Couple without children;-38,58992756;-3,723805035;102,5625
23947;Argentina;32-40 years;Leisure;6;2304400;Fortaleza - CE;Rented property;No;Couple without children;-38,58992756;-3,723805035;139,833333333333
24588;France;32-40 years;Other reasons;9;2304400;Fortaleza - CE;House of friends and relatives;No;Alone;-38,58992756;-3,723805035;10,2222222222222
26894;Italy;32-40 years;Other reasons;45;2304400;Fortaleza - CE;Rented property;No;Couple with children;-38,58992756;-3,723805035;27,5777777777778
26917;Germany;51-59 years;Leisure;21;2304400;Fortaleza - CE;Hotel or flat;No;Friends;-38,58992756;-3,723805035;51,6666666666667
26973;Argentina;51-59 years;Leisure;7;2304400;Fortaleza - CE;Hotel or flat;Tourist package;Couple without children;-38,58992756;-3,723805035;16,4285714285714
30432;Philippines;32-40 years;Business and events;35;2304400;Fortaleza - CE;Hotel or flat;No;Co-workers;-38,58992756;-3,723805035;85,7142857142857
36115;Uruguay;32-40 years;Leisure;28;2304400;Fortaleza - CE;Rented property;No;Couple without children;-38,58992756;-3,723805035;17,8571428571429
38161;Argentina;41-50 years;Leisure;7;2304400;Fortaleza - CE;Hotel or flat;No;Family group;-38,58992756;-3,723805035;80,4642857142857
41131;Argentina;41-50 years;Leisure;1;2304400;Fortaleza - CE;Posada;No;Couple without children;-38,58992756;-3,723805035;250
41179;Netherlands;32-40 years;Other reasons;14;2304400;Fortaleza - CE;House of friends and relatives;No;Alone;-38,58992756;-3,723805035;17,9285714285714
43535;Netherlands;51-59 years;Other reasons;29;2304400;Fortaleza - CE;Rented property;No;Couple without children;-38,58992756;-3,723805035;150,98275862069
15526;Italy;51-59 years;Leisure;7;2304400;Fortaleza - CE;House of friends and relatives;Separate services;Friends;-38,58992756;-3,723805035;244
15569;Spain;41-50 years;Other reasons;37;2304400;Fortaleza - CE;House of friends and relatives;Separate services;Alone;-38,58992756;-3,723805035;254,432432432432
21157;Belgium;32-40 years;Leisure;8;2304400;Fortaleza - CE;Hotel or flat;No;Family group;-38,58992756;-3,723805035;210,5
21286;Belgium;32-40 years;Leisure;10;2304400;Fortaleza - CE;Rented property;No;Couple with children;-38,58992756;-3,723805035;41,55
21438;Portugal;41-50 years;Leisure;11;2304400;Fortaleza - CE;Resort;Tourist package;Family group;-38,58992756;-3,723805035;63,7727272727273
22164;Argentina;18-24 years;Leisure;10;2304400;Fortaleza - CE;House of friends and relatives;No;Friends;-38,58992756;-3,723805035;83,8
22961;Argentina;51-59 years;Leisure;25;2304400;Fortaleza - CE;House of friends and relatives;No;Alone;-38,58992756;-3,723805035;33,32
25301;United States;51-59 years;Leisure;12;2304400;Fortaleza - CE;House of friends and relatives;No;Couple without children;-38,58992756;-3,723805035;27,2083333333333
26888;Portugal;Over 60 years;Other reasons;42;2304400;Fortaleza - CE;House of friends and relatives;No;Couple without children;-38,58992756;-3,723805035;82,7261904761905
31542;Chile;25-31 years;Leisure;16;2304400;Fortaleza - CE;House of friends and relatives;Separate services;Alone;-38,58992756;-3,723805035;37,25
41158;Italy;25-31 years;Other reasons;55;2304400;Fortaleza - CE;House of friends and relatives;No;Alone;-38,58992756;-3,723805035;23
48878;United States;25-31 years;Other reasons;22;2304400;Fortaleza - CE;Hotel or flat;No;Couple without children;-38,58992756;-3,723805035;41,3636363636364
11341;Switzerland;41-50 years;Business and events;7;2304400;Fortaleza - CE;Hotel or flat;No;Alone;-38,58992756;-3,723805035;24
18732;Argentina;Over 60 years;Leisure;10;2304400;Fortaleza - CE;Hotel or flat;Tourist package;Couple without children;-38,58992756;-3,723805035;68,3
21217;Switzerland;Over 60 years;Leisure;30;2304400;Fortaleza - CE;Hostel or bed & breakfast;Tourist package;Couple without children;-38,58992756;-3,723805035;33,3333333333333
25757;Italy;41-50 years;Other reasons;30;2304400;Fortaleza - CE;Posada;No;Family group;-38,58992756;-3,723805035;27,1
41071;French Guiana;51-59 years;Leisure;7;2304400;Fortaleza - CE;Hotel or flat;Tourist package;Family group;-38,58992756;-3,723805035;89,7142857142857
15550;Canada;32-40 years;Other reasons;33;2304400;Fortaleza - CE;House of friends and relatives;No;Alone;-38,58992756;-3,723805035;16,9393939393939
19369;Italy;Over 60 years;Leisure;83;2304400;Fortaleza - CE;Hotel or flat;Separate services;Alone;-38,58992756;-3,723805035;68,5903614457831
20054;United States;32-40 years;Other reasons;31;2304400;Fortaleza - CE;Posada;No;Alone;-38,58992756;-3,723805035;79,4516129032258
20706;Portugal;51-59 years;Business and events;30;2304400;Fortaleza - CE;Own property;Separate services;Alone;-38,58992756;-3,723805035;56,4333333333333
21254;France;25-31 years;Other reasons;30;2304400;Fortaleza - CE;House of friends and relatives;No;Alone;-38,58992756;-3,723805035;55,0666666666667
21256;Italy;18-24 years;Leisure;30;2304400;Fortaleza - CE;House of friends and relatives;No;Alone;-38,58992756;-3,723805035;20,5333333333333
21264;Netherlands;25-31 years;Other reasons;90;2304400;Fortaleza - CE;House of friends and relatives;No;Alone;-38,58992756;-3,723805035;17,1
21864;Portugal;25-31 years;Other reasons;39;2304400;Fortaleza - CE;House of friends and relatives;No;Family group;-38,58992756;-3,723805035;33,8717948717949
23408;Spain;32-40 years;Other reasons;10;2304400;Fortaleza - CE;House of friends and relatives;No;Friends;-38,58992756;-3,723805035;114,7
26940;Sweden;25-31 years;Other reasons;16;2304400;Fortaleza - CE;House of friends and relatives;Separate services;Alone;-38,58992756;-3,723805035;68,25
26980;Portugal;Over 60 years;Leisure;7;2304400;Fortaleza - CE;Resort;Tourist package;Couple without children;-38,58992756;-3,723805035;37,2142857142857
26987;Switzerland;41-50 years;Other reasons;61;2304400;Fortaleza - CE;Own property;No;Alone;-38,58992756;-3,723805035;142,393442622951
38254;Italy;41-50 years;Leisure;90;2304400;Fortaleza - CE;Posada;No;Alone;-38,58992756;-3,723805035;21,5111111111111
41148;France;51-59 years;Business and events;17;2304400;Fortaleza - CE;Rented property;No;Alone;-38,58992756;-3,723805035;119,058823529412
41169;Switzerland;32-40 years;Other reasons;13;2304400;Fortaleza - CE;Hotel or flat;No;Alone;-38,58992756;-3,723805035;188,307692307692
41188;Italy;32-40 years;Leisure;10;2304400;Fortaleza - CE;Own property;No;Friends;-38,58992756;-3,723805035;110,1
45477;Switzerland;25-31 years;Other reasons;18;2304400;Fortaleza - CE;House of friends and relatives;No;Alone;-38,58992756;-3,723805035;61,0277777777778
49029;Canada;Over 60 years;Other reasons;4;2304400;Fortaleza - CE;Hotel or flat;No;Alone;-38,58992756;-3,723805035;750
41067;Germany;41-50 years;Other reasons;30;2306256;Itaitinga - CE;Rented property;No;Couple with children;-38,52640515;-3,970459016;17,4333333333333
15520;Argentina;25-31 years;Leisure;17;2307254;Jijoca de Jericoacoara - CE;Posada;No;Couple without children;-40,4387354;-2,899682709;94,1176470588235
20926;Switzerland;41-50 years;Leisure;23;2307254;Jijoca de Jericoacoara - CE;Hotel or flat;No;Couple without children;-40,4387354;-2,899682709;197,760869565217
20935;Germany;51-59 years;Other reasons;33;2307254;Jijoca de Jericoacoara - CE;Posada;No;Couple with children;-40,4387354;-2,899682709;55,969696969697
21232;Portugal;41-50 years;Leisure;9;2307254;Jijoca de Jericoacoara - CE;Posada;Separate services;Friends;-40,4387354;-2,899682709;57,4444444444444
26877;Argentina;32-40 years;Leisure;25;2307254;Jijoca de Jericoacoara - CE;Posada;No;Couple with children;-40,4387354;-2,899682709;33,0933333333333
28758;Netherlands;51-59 years;Leisure;18;2307254;Jijoca de Jericoacoara - CE;Posada;No;Couple without children;-40,4387354;-2,899682709;114,361111111111
33740;Chile;41-50 years;Leisure;30;2307254;Jijoca de Jericoacoara - CE;Hotel or flat;No;Couple with children;-40,4387354;-2,899682709;175
15541;Italy;18-24 years;Other reasons;13;2307254;Jijoca de Jericoacoara - CE;Hostel or bed & breakfast;No;Couple without children;-40,4387354;-2,899682709;10,7692307692308
24684;Argentina;41-50 years;Leisure;7;2307254;Jijoca de Jericoacoara - CE;Posada;No;Family group;-40,4387354;-2,899682709;53,4285714285714
26949;Italy;51-59 years;Other reasons;91;2307254;Jijoca de Jericoacoara - CE;House of friends and relatives;No;Alone;-40,4387354;-2,899682709;11,9230769230769
21283;Portugal;41-50 years;Leisure;15;2307254;Jijoca de Jericoacoara - CE;Posada;Separate services;Alone;-40,4387354;-2,899682709;299,333333333333
23188;Germany;18-24 years;Leisure;85;2307700;Maranguape - CE;House of friends and relatives;No;Alone;-38,68585125;-3,89186946;19,8117647058824
22589;Spain;32-40 years;Other reasons;31;2308906;Morrinhos - CE;House of friends and relatives;Separate services;Alone;-40,12417889;-3,228830534;39,7096774193548
15585;Italy;32-40 years;Other reasons;20;2309201;Nova Olinda - CE;House of friends and relatives;No;Alone;-39,67948547;-7,084102811;209,5
45328;Spain;51-59 years;Other reasons;75;2309300;Nova Russas - CE;Own property;No;Alone;-40,56530335;-4,70680835;42,68
43520;Portugal;Over 60 years;Other reasons;150;2309607;Pacajus - CE;House of friends and relatives;Separate services;Alone;-38,46702226;-4,17054051;31,3866666666667
41128;Switzerland;41-50 years;Other reasons;14;2311801;Russas - CE;Own property;No;Alone;-37,9754313;-4,939737815;36,4285714285714
15542;France;41-50 years;Leisure;15;2312403;Sao Goncalo do Amarante - CE;Posada;No;Alone;-38,97207587;-3,6056325;37,2666666666667
21440;Switzerland;51-59 years;Leisure;22;2312403;Sao Goncalo do Amarante - CE;House of friends and relatives;No;Family group;-38,97207587;-3,6056325;44,2878787878788
37108;Sweden;51-59 years;Leisure;14;2312403;Sao Goncalo do Amarante - CE;Hotel or flat;No;Couple without children;-38,97207587;-3,6056325;35,7142857142857
18645;Mexico;18-24 years;Other reasons;42;2408102;Natal - RN;House of friends and relatives;No;Friends;-35,25225473;-5,750898538;37,7619047619048
18499;Argentina;41-50 years;Leisure;8;2408102;Natal - RN;Hotel or flat;Tourist package;Friends;-35,25225473;-5,750898538;16,6666666666667
18874;Spain;25-31 years;Leisure;17;2408102;Natal - RN;Hotel or flat;No;Couple without children;-35,25225473;-5,750898538;73,2941176470588
20457;Chile;51-59 years;Leisure;3;2408102;Natal - RN;Hotel or flat;No;Alone;-35,25225473;-5,750898538;74
21708;Argentina;51-59 years;Leisure;7;2408102;Natal - RN;Hotel or flat;Separate services;Family group;-35,25225473;-5,750898538;87,2380952380952
21944;Argentina;41-50 years;Leisure;12;2408102;Natal - RN;Hotel or flat;Separate services;Couple without children;-35,25225473;-5,750898538;67,125
24662;Argentina;41-50 years;Leisure;7;2408102;Natal - RN;Hotel or flat;No;Couple without children;-35,25225473;-5,750898538;176,642857142857
31699;Italy;41-50 years;Leisure;7;2408102;Natal - RN;Hotel or flat;No;Friends;-35,25225473;-5,750898538;144,714285714286
37520;Chile;41-50 years;Leisure;6;2408102;Natal - RN;Hotel or flat;No;Couple with children;-35,25225473;-5,750898538;101,916666666667
42564;Argentina;25-31 years;Leisure;6;2408102;Natal - RN;Hotel or flat;No;Couple without children;-35,25225473;-5,750898538;52,3333333333333
48916;Uruguay;51-59 years;Leisure;7;2408102;Natal - RN;Hotel or flat;No;Family group;-35,25225473;-5,750898538;142,857142857143
17209;Bolivia;Over 60 years;Leisure;7;2408102;Natal - RN;Hotel or flat;No;Family group;-35,25225473;-5,750898538;83,8571428571429
18765;Argentina;18-24 years;Leisure;7;2408102;Natal - RN;Hotel or flat;No;Friends;-35,25225473;-5,750898538;182,428571428571
18853;Belgium;25-31 years;Leisure;25;2408102;Natal - RN;House of friends and relatives;No;Family group;-35,25225473;-5,750898538;20,2
19039;Argentina;41-50 years;Leisure;7;2408102;Natal - RN;Hotel or flat;Tourist package;Friends;-35,25225473;-5,750898538;51,8571428571429
28747;Costa Rica;32-40 years;Leisure;30;2408102;Natal - RN;House of friends and relatives;No;Family group;-35,25225473;-5,750898538;11,0333333333333
31628;Portugal;25-31 years;Other reasons;15;2408102;Natal - RN;House of friends and relatives;No;Alone;-35,25225473;-5,750898538;36,1333333333333
43094;Argentina;41-50 years;Leisure;9;2408102;Natal - RN;Hotel or flat;No;Alone;-35,25225473;-5,750898538;183,888888888889
44678;Bolivia;51-59 years;Leisure;45;2408102;Natal - RN;House of friends and relatives;No;Family group;-35,25225473;-5,750898538;22,2222222222222
24158;Colombia;41-50 years;Business and events;2;2408102;Natal - RN;Hotel or flat;No;Alone;-35,25225473;-5,750898538;85,5
49288;Spain;32-40 years;Business and events;15;2408102;Natal - RN;House of friends and relatives;No;Alone;-35,25225473;-5,750898538;188,333333333333
23631;Argentina;25-31 years;Leisure;7;2408102;Natal - RN;Hotel or flat;Tourist package;Couple with children;-35,25225473;-5,750898538;70,7142857142857
33057;Uruguay;51-59 years;Business and events;5;2408102;Natal - RN;Hotel or flat;Separate services;Alone;-35,25225473;-5,750898538;110
35970;Uruguay;51-59 years;Leisure;14;2408102;Natal - RN;Hotel or flat;Tourist package;Couple without children;-35,25225473;-5,750898538;28,5714285714286
42872;Argentina;25-31 years;Leisure;7;2408102;Natal - RN;Hotel or flat;Tourist package;Couple with children;-35,25225473;-5,750898538;47,2857142857143
31564;United States;18-24 years;Other reasons;37;2408102;Natal - RN;House of friends and relatives;No;Alone;-35,25225473;-5,750898538;13,5135135135135
31625;Spain;32-40 years;Other reasons;24;2408102;Natal - RN;Posada;No;Alone;-35,25225473;-5,750898538;63,25
31682;Norway;51-59 years;Leisure;21;2408102;Natal - RN;Own property;Separate services;Alone;-35,25225473;-5,750898538;52
48995;United Kingdom;32-40 years;Other reasons;20;2408102;Natal - RN;House of friends and relatives;Separate services;Alone;-35,25225473;-5,750898538;235,4
31703;Spain;41-50 years;Business and events;26;2412559;Sao Miguel do Gostoso - RN;Hotel or flat;Tourist package;Co-workers;-35,64128351;-5,122857116;27,8076923076923
31697;France;51-59 years;Leisure;14;2412559;Sao Miguel do Gostoso - RN;Posada;No;Friends;-35,64128351;-5,122857116;115,214285714286
17895;Argentina;Over 60 years;Leisure;11;2414209;Tibau do Sul - RN;Hotel or flat;No;Couple without children;-35,09260037;-6,188071759;82,1363636363636
19409;Argentina;25-31 years;Leisure;8;2414209;Tibau do Sul - RN;Hotel or flat;No;Couple without children;-35,09260037;-6,188071759;78,875
20909;Argentina;25-31 years;Leisure;7;2414209;Tibau do Sul - RN;Posada;No;Couple without children;-35,09260037;-6,188071759;36
24207;Uruguay;41-50 years;Leisure;7;2414209;Tibau do Sul - RN;Posada;No;Couple without children;-35,09260037;-6,188071759;109,928571428571
32347;Argentina;41-50 years;Leisure;15;2414209;Tibau do Sul - RN;Rented property;No;Couple with children;-35,09260037;-6,188071759;92,2
36150;Chile;32-40 years;Leisure;8;2414209;Tibau do Sul - RN;Hotel or flat;No;Couple with children;-35,09260037;-6,188071759;156,25
36331;Argentina;18-24 years;Leisure;10;2414209;Tibau do Sul - RN;Hotel or flat;No;Friends;-35,09260037;-6,188071759;54,3
44375;Uruguay;25-31 years;Leisure;8;2414209;Tibau do Sul - RN;Hotel or flat;Tourist package;Couple without children;-35,09260037;-6,188071759;37,5
46828;Argentina;32-40 years;Leisure;10;2414209;Tibau do Sul - RN;Hostel or bed & breakfast;No;Alone;-35,09260037;-6,188071759;235
48551;Uruguay;51-59 years;Leisure;18;2414209;Tibau do Sul - RN;Posada;Separate services;Friends;-35,09260037;-6,188071759;46,0833333333333
7882;France;25-31 years;Leisure;15;2414209;Tibau do Sul - RN;Hostel or bed & breakfast;No;Couple without children;-35,09260037;-6,188071759;166,866666666667
18714;Chile;25-31 years;Leisure;10;2414209;Tibau do Sul - RN;Posada;No;Couple without children;-35,09260037;-6,188071759;40,35
18854;France;Over 60 years;Leisure;14;2414209;Tibau do Sul - RN;Posada;No;Family group;-35,09260037;-6,188071759;80,1785714285714
